claim,claimant,claim date,text review,title,language
Do researchers predict 'Medicare for All' would reduce overall US health care spending?,Social media users,2020-11-17T19:37:41Z,True,Fact Brief : Do researchers predict 'Medicare for All' would reduce overall US health care spending?,en
Fotoğrafın Binali Yıldırım'a verilen tablodaki çizimi gösterdiği iddiası,Sosyal Medya,2019-05-19T00:00:00Z,False,Fotoğrafın Binali Yıldırım'a verilen tablodaki çizimi gösterdiği iddiası,tr
"Abimola, 36 anni, congolese pregiudicato, vive in un bilocale messo a disposizione dal comune in cui risiede. Riccardo, 78 anni, piemontese incensurato da due mesi vive in un parco perché lo stato gli ha pignorato la casa",,2020-07-27T00:00:00Z,False,La bufala della casa pignorata ad un anziano italiano e data ad un pregiudicato africano,it
Most affected countries by COVID-19 are along the same 40-degree North latitude,SOCIAL MEDIA POST,2020-03-11T00:00:00Z,False,Not all the countries severely affected by COVID-19 are on the 40-degree North latitude,en
Intervenção artística em Arroios custou 37 mil euros ao erário público?,,2021-04-09T17:00:23Z,True,Intervenção artística em Arroios custou 37 mil euros ao erário público?,pt
Donald Trump Pakistan’da mı doğdu?,Star,2016-11-13T00:00:00Z,False,Donald Trump Pakistan’da mı doğdu?,tr
"An image shared on Instagram purportedly shows a CNN article reporting on Former President Donald Trump saying he would beat Islam Makhachev ""in the second round.""",Viral Image,2022-06-21T00:00:00Z,False,FACT CHECK: Did CNN Report On Donald Trump Challenging UFC Fighter Islam Makhachev To A Fight?,en
സർവർക്കർ മാപ്പ് പറഞ്ഞെന്ന് 1947 ൽ ജനഭൂമി വാർത്ത,Viral Social media post,2023-03-29T00:00:00Z,False,Fact Check: സർവർക്കർ മാപ്പ് പറഞ്ഞെന്ന് 1947 ൽ ജന്മഭൂമി വാർത്ത കൊടുത്തുവോ? ഒരു അന്വേഷണം,ml
Photograph shows an eagle perched atop a gravestone in a military cemetery.,,,True,The Eagle Has Landed,en
Infiltrado do MST é gravado quebrando vidraças em Brasília,desinformação,2023-01-10T00:00:00Z,False,Vídeo não mostra membro do MST ‘infiltrado’ quebrando vidros,pt
"claims to show an anti-lockdown protest in London, U.K., on April 24, 2021.",Viral image,2021-04-25T00:00:00Z,False,FACT CHECK: Does This Image Show An April 2021 Anti-Lockdown Protest In London?,en
“Hace 10 años el presupuesto cae un punto por año”,"Santoro, sobre el presupuesto educativo en la Ciudad",2021-10-14T20:07:36Z,True,"Santoro, sobre el presupuesto educativo en CABA: “Hace 10 años cae 1 punto por año”",es
"“When Mwai Kibaki came into office, we were collecting about 220 billion.""",the President of Kenya,2023-05-01T12:00:00Z,False,Kenyan president William Ruto sparred with journalists over his ...,en
Health tourism costs nearly £300 million on some estimates.,David Dimbleby,2017-02-02T00:00:00Z,True,Health tourism savings won't plug the hole in NHS funding - Full Fact,en
Governo quer manter estratégia da TAP no Porto apesar de ter garantido que ouviria o país se a empresa fosse para o Estado?,,2022-01-11T15:00:00Z,True,Governo quer manter estratégia da TAP no Porto apesar de ter garantido que ouviria o país se a empresa foss...,pt
